<blank> 0
<unk> 1
<s> 2
</s> 3
US 4 2370
Hillary_Clinton 5 89
Wednesday 6 1624
Israeli 7 1009
West_Bank 8 154
Palestinians 9 151
Israel 10 933
Israeli-Palestinian 11 21
Clinton 12 268
King_Fahd 13 12
Saudi_Arabia 14 104
Saudi 15 86
SPA 16 22
Thursday 17 1686
Crown_Prince 18 19
Abdallah_bin_Abdel_Aziz 19 1
Fahd 20 3
74 21 11
Prince_Abdallah 22 1
December 23 165
7 24 63
Bill_Clinton 25 217
Monday 26 1655
1996 27 40
Al_Gore 28 22
CNN 29 37
Gore 30 19
Tennessee 31 3
White_House 32 489
North_Carolina 33 6
Jesse_Helms 34 1
Foreign_Relations_Committee 35 1
Tuesday 36 1671
Harvey_Gantt 37 1
fifth 38 60
Helms 39 1
75 40 17
Cuba 41 107
United_States 42 1021
Canada 43 198
European_Union 44 211
Algerian 45 38
Liamine_Zeroual 46 8
China 47 763
October 48 169
17 49 66
21 50 65
APS 51 3
September 52 232
25 53 85
Chinese 54 646
Qian_Qichen 55 25
New_York 56 111
third 57 234
Zeroual 58 8
Vietnam 59 58
Arab 60 89
Asian 61 59
Iraq 62 787
Kofi_Annan 63 57
UN_Security_Council 64 114
Iraqi 65 303
Annan 66 53
Lithuanian 67 23
Saulius_Mikoliunas 68 1
two 69 1230
2008 70 62
Scotland 71 49
UEFA 72 19
France 73 806
Ukraine 74 181
November 75 202
3-1 76 8
Glasgow 77 7
9 78 35
Lithuania 79 30
61st 80 1
Slovenian 81 9
Damir_Skomina 82 1
Mikoliunas 83 1
Benjamin_Netanyahu 84 96
first 85 964
Amman 86 42
King_Hussein 87 49
Shimon_Peres 88 100
May 89 270
29 90 63
Netanyahu 91 74
Egypt 92 247
Jordan 93 216
Turkey 94 241
Russia 95 896
South_Stream 96 4
Turkish 97 283
Recep_Tayyip_Erdogan 98 32
Erdogan 99 26
Russian 100 1158
Vladimir_Putin 101 237
EU 102 253
Portugal 103 71
Portuguese 104 75
Lisbon 105 19
Putin 106 207
Two 107 63
Bosnian_Serbs 108 13
March 109 218
Bosnian 110 71
Jasmin_Sljivo 111 1
Amor_Masovic 112 1
Sljivo 113 1
22 114 46
Masovic 115 1
Serbs 116 15
four 117 224
years 118 387
Britain 119 261
Tony_Blair 120 74
Sunday 121 1106
French 122 971
Jacques_Chirac 123 203
Jean-Marie_Le_Pen 124 7
Chirac 125 172
Blair 126 41
Le_Pen 127 5
Belgium 128 59
Zaire 129 33
Belgian 130 75
Wouter_Vermeulen 131 1
Reginald_Moreels 132 1
AFP 133 625
Moreels 134 1
500,000 135 12
Mugunga 136 1
Katale 137 1
Gaza_Strip 138 115
MENA 139 44
Egyptian 140 261
Omar_Suleiman 141 3
Islamist_Hamas 142 10
Gaza 143 136
David_Levy 144 15
February 145 155
24-26 146 3
Vice-Premier_Li_Lanqing 147 2
Jerusalem 148 121
1992 149 67
Beijing 150 245
Palestine 151 14
Middle_Eastern 152 6
Argentina 153 95
World_Bank 154 24
IMF 155 31
Argentine 156 63
Roberto_Lavagna 157 5
International_Monetary_Fund 158 20
Lavagna 159 3
David_De_Ferranti 160 1
Huang_Kwang-chun 161 47
Judicial_Yuan 162 3
